iter	Passed	Remaining
0	0	90
1	1	80
2	2	75
3	2	70
4	3	69
5	4	68
6	5	67
7	5	67
8	6	66
9	7	66
10	8	66
11	9	66
12	9	65
13	10	64
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	59
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	30	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	75	0
